id,neighbourhood,latitude,longitude,availability_365,number_of_reviews,reviews_per_month,minimum_nights,distance_seine,prix_moyen_journalier,periode
732916,Vaugirard,48.84989,2.29523,336,135,1.06,1,793.9141488415107,125.0,mars_2025
741956,Buttes-Chaumont,48.87995189262799,2.391772784379834,309,7,0.26,4,3904.3754985598016,100.0,mars_2025
745338,Luxembourg,48.85557,2.33968,10,174,1.18,5,138.14341356886254,90.0,mars_2025
748212,Reuilly,48.85194,2.37346,333,117,0.79,5,915.3885232498629,120.0,mars_2025
851420,Batignolles-Monceau,48.8855,2.32421,311,164,1.14,2,2469.868325412882,280.0,mars_2025
854400,Bourse,48.86507,2.34678,86,61,0.41,6,881.4400422548163,149.0,mars_2025
857841,Popincourt,48.86725,2.37959,88,35,0.24,3,2242.377032444936,69.0,mars_2025
871615,Entrepôt,48.8765,2.35011,39,58,0.4,6,2166.8534508629195,275.0,mars_2025
873165,Batignolles-Monceau,48.88652,2.31285,180,52,1.18,2,2537.3850019858673,170.0,mars_2025
876345,Ménilmontant,48.87334,2.39555,343,78,0.54,2,3542.2165972948897,500.0,mars_2025
877645,Popincourt,48.86112,2.37427,23,83,0.58,7,1475.6843025683124,360.0,mars_2025
884526,Temple,48.85997,2.36398,301,188,1.33,2,937.3910068397266,500.0,mars_2025
885018,Batignolles-Monceau,48.87956,2.29157,15,49,0.6,2,1894.6430652856222,150.0,mars_2025
886386,Ménilmontant,48.85483,2.41038,11,132,1.01,3,3192.6058398840114,150.0,mars_2025
890706,Popincourt,48.859211,2.376993,140,231,1.59,6,1491.0028500527408,120.0,mars_2025
895521,Hôtel-de-Ville,48.85831,2.35708,26,158,1.11,6,532.8642563415659,230.0,mars_2025
898801,Passy,48.86885452270508,2.297070980072021,5,91,0.62,3,638.1187254678524,160.0,mars_2025
899016,Palais-Bourbon,48.85796,2.31738,340,4,0.19,1,616.1102884052286,240.0,mars_2025
899839,Temple,48.85935,2.36406,192,194,1.32,2,879.4988040135976,195.0,mars_2025
815987,Temple,48.86347,2.36387,86,123,0.83,4,1276.4798748808867,300.0,mars_2025
816102,Popincourt,48.86751,2.37557,7,79,0.54,5,2087.828239712788,290.0,mars_2025
826329,Buttes-Montmartre,48.896392822265625,2.333127021789551,38,14,0.9,2,3797.0895358732387,90.0,mars_2025
830294,Temple,48.86238,2.35233,155,55,0.38,4,746.3798573382221,200.0,mars_2025
833785,Reuilly,48.84734,2.40059,344,47,0.32,6,2121.140711208718,250.0,mars_2025
836235,Popincourt,48.85616,2.38876,23,490,3.36,4,2063.010997162816,85.0,mars_2025
837096,Entrepôt,48.87833,2.36698,40,189,1.32,3,2811.614657238591,79.0,mars_2025
840111,Passy,48.84794,2.27084,3,23,0.15,7,352.6431893519704,170.0,mars_2025
840987,Popincourt,48.85693,2.39096,174,36,0.3,5,2240.4453349276746,200.0,mars_2025
843256,Entrepôt,48.87111,2.37011,44,40,0.27,5,2241.437195592433,79.0,mars_2025
847223,Gobelins,48.8346,2.34792,172,46,0.34,2,1766.8895095852015,110.0,mars_2025
932668,Hôtel-de-Ville,48.85313,2.35569,4,146,1.0,2,20.49769973349504,450.0,mars_2025
933438,Opéra,48.87571,2.34104,242,68,0.5,3,1912.131804315538,155.0,mars_2025
933464,Buttes-Montmartre,48.88983,2.33102,303,27,1.08,5,3053.280565516766,165.0,mars_2025
934841,Vaugirard,48.84068,2.28933,113,86,0.73,2,1210.3282494534762,100.0,mars_2025
946194,Ménilmontant,48.8689,2.40968,27,147,1.01,3,4104.182937840726,75.0,mars_2025
950501,Louvre,48.86387,2.346,5,43,0.31,5,736.8818934224524,90.0,mars_2025
958939,Batignolles-Monceau,48.87956,2.29098,265,104,0.72,4,1908.3684112640863,210.0,mars_2025
967969,Panthéon,48.85049,2.35228,251,88,0.61,3,97.42404232087904,145.0,mars_2025
968579,Observatoire,48.83132,2.32121,364,51,0.35,5,3054.573042070838,250.0,mars_2025
975201,Hôtel-de-Ville,48.85314,2.36755,128,133,0.92,5,558.5892761476077,135.0,mars_2025
975997,Hôtel-de-Ville,48.85461,2.36807,65,111,0.77,2,663.3398709744304,150.0,mars_2025
976953,Buttes-Montmartre,48.89246,2.34633,207,271,2.36,4,3749.488193780587,98.0,mars_2025
903833,Gobelins,48.8241,2.36206,334,43,0.36,3,1702.689619550549,109.0,mars_2025
908459,Bourse,48.86748,2.34705,365,15,0.11,4,1142.562035322496,300.0,mars_2025
916330,Passy,48.86153,2.27759,365,14,0.1,2,926.037756427378,50.0,mars_2025
919189,Popincourt,48.86213,2.37872,87,1,0.01,3,1790.3809244441788,150.0,mars_2025
920617,Popincourt,48.85654,2.36907,83,50,0.34,3,848.2722757530414,150.0,mars_2025
922547,Ménilmontant,48.85292,2.39732,36,302,2.08,2,2294.9522335971005,169.0,mars_2025
924442,Popincourt,48.86177,2.36722,5,114,0.8,3,1226.3976461428929,220.0,mars_2025
928862,Popincourt,48.8536,2.38391,345,28,0.19,5,1607.9647696559734,250.0,mars_2025
1143342,Palais-Bourbon,48.85948,2.30757,183,131,0.91,3,455.8387315651045,45.0,mars_2025
1145013,Buttes-Montmartre,48.89387,2.34939,303,43,0.46,3,3986.4677218217817,230.0,mars_2025
1147882,Entrepôt,48.87977,2.34977,331,180,2.39,3,2509.136337645779,110.0,mars_2025
